id,text,label
1,"Le vaccin cause des puces électroniques.",douteux
2,"La météo annonce de fortes pluies demain.",fiable
3,"Les extraterrestres contrôlent le gouvernement.",douteux
4,"Le café contient de la caféine qui stimule le système nerveux.",fiable
5,"Le virus a été créé en laboratoire pour contrôler la population.",douteux
6,"La Terre tourne autour du Soleil en 365 jours.",fiable
7,"Les antennes 5G diffusent des ondes qui provoquent des maladies.",douteux
8,"Le chocolat noir contient des antioxydants bénéfiques pour la santé.",fiable
9,"Les vaccins sont une arnaque pour enrichir les laboratoires.",douteux
10,"L’eau bout à 100 degrés Celsius à pression atmosphérique normale.",fiable
